,state_id,state_name,city
297,1,Alabama,Kellerman
298,1,Alabama,Kellyton
299,1,Alabama,Kennedy
300,1,Alabama,Kent
301,1,Alabama,Killen
302,1,Alabama,Kimberly
303,1,Alabama,Kinston
304,1,Alabama,Knoxville
305,1,Alabama,Laceys Spring
306,1,Alabama,Lafayette
307,1,Alabama,Lanett
308,1,Alabama,Langston
309,1,Alabama,Lapine
310,1,Alabama,Lawley
311,1,Alabama,Leeds
312,1,Alabama,Leesburg
313,1,Alabama,Leighton
314,1,Alabama,Lenox
315,1,Alabama,Leroy
316,1,Alabama,Lester
317,1,Alabama,Letohatchee
318,1,Alabama,Lexington
319,1,Alabama,Lillian
320,1,Alabama,Lincoln
321,1,Alabama,Linden
322,1,Alabama,Lineville
323,1,Alabama,Lisman
324,1,Alabama,Little River
325,1,Alabama,Livingston
326,1,Alabama,Loachapoka
327,1,Alabama,Lockhart
328,1,Alabama,Locust Fork
329,1,Alabama,Logan
330,1,Alabama,Louisville
331,1,Alabama,Lower Peach Tree
332,1,Alabama,Lowndesboro
333,1,Alabama,Loxley
334,1,Alabama,Luverne
335,1,Alabama,Lynn
336,1,Alabama,Madison
337,1,Alabama,Magnolia
338,1,Alabama,Magnolia Springs
339,1,Alabama,Malcolm
340,1,Alabama,Malvern
341,1,Alabama,Maplesville
342,1,Alabama,Marbury
343,1,Alabama,Margaret
344,1,Alabama,Marion
345,1,Alabama,Marion Junction
346,1,Alabama,Mathews
347,1,Alabama,Maylene
348,1,Alabama,Mc Calla
349,1,Alabama,Mc Intosh
350,1,Alabama,Mc Kenzie
351,1,Alabama,Mc Shan
352,1,Alabama,Mc Williams
353,1,Alabama,Megargel
354,1,Alabama,Melvin
355,1,Alabama,Mentone
356,1,Alabama,Meridianville
357,1,Alabama,Mexia
358,1,Alabama,Midland City
359,1,Alabama,Midway
360,1,Alabama,Millbrook
361,1,Alabama,Millerville
362,1,Alabama,Millport
363,1,Alabama,Millry
364,1,Alabama,Minter
365,1,Alabama,Mobile
366,1,Alabama,Monroeville
367,1,Alabama,Montevallo
368,1,Alabama,Montgomery
369,1,Alabama,Montrose
370,1,Alabama,Moody
371,1,Alabama,Mooresville
372,1,Alabama,Morris
373,1,Alabama,Morvin
374,1,Alabama,Moulton
375,1,Alabama,Moundville
376,1,Alabama,Mount Hope
377,1,Alabama,Mount Meigs
378,1,Alabama,Mount Olive
379,1,Alabama,Mount Vernon
380,1,Alabama,Mulga
381,1,Alabama,Munford
382,1,Alabama,Muscadine
383,1,Alabama,Muscle Shoals
384,1,Alabama,Myrtlewood
385,1,Alabama,Nanafalia
386,1,Alabama,Natural Bridge
387,1,Alabama,Nauvoo
388,1,Alabama,Needham
389,1,Alabama,New Brockton
390,1,Alabama,New Castle
391,1,Alabama,New Hope
392,1,Alabama,New Market
393,1,Alabama,Newbern
394,1,Alabama,Newton
395,1,Alabama,Newville
396,1,Alabama,Normal
397,1,Alabama,Northport
398,1,Alabama,Notasulga
399,1,Alabama,Oak Hill
400,1,Alabama,Oakman
401,1,Alabama,Odenville
402,1,Alabama,Ohatchee
403,1,Alabama,Oneonta
404,1,Alabama,Opelika
405,1,Alabama,Opp
406,1,Alabama,Orange Beach
407,1,Alabama,Orrville
408,1,Alabama,Owens Cross Roads
409,1,Alabama,Oxford
410,1,Alabama,Ozark
411,1,Alabama,Paint Rock
412,1,Alabama,Palmerdale
413,1,Alabama,Panola
414,1,Alabama,Pansey
415,1,Alabama,Parrish
416,1,Alabama,Pelham
417,1,Alabama,Pell City
418,1,Alabama,Pennington
419,1,Alabama,Perdido
420,1,Alabama,Perdue Hill
421,1,Alabama,Perote
422,1,Alabama,Peterman
423,1,Alabama,Peterson
424,1,Alabama,Petrey
425,1,Alabama,Phenix City
426,1,Alabama,Phil Campbell
427,1,Alabama,Piedmont
428,1,Alabama,Pike Road
429,1,Alabama,Pinckard
430,1,Alabama,Pine Apple
431,1,Alabama,Pine Hill
432,1,Alabama,Pine Level
433,1,Alabama,Pinson
434,1,Alabama,Pisgah
435,1,Alabama,Pittsview
436,1,Alabama,Plantersville
437,1,Alabama,Pleasant Grove
438,1,Alabama,Point Clear
439,1,Alabama,Prattville
440,1,Alabama,Princeton
441,1,Alabama,Quinton
442,1,Alabama,Ragland
443,1,Alabama,Rainsville
444,1,Alabama,Ralph
445,1,Alabama,Ramer
446,1,Alabama,Ranburne
447,1,Alabama,Randolph
448,1,Alabama,Range
449,1,Alabama,Red Bay
450,1,Alabama,Red Level
451,1,Alabama,Reform
452,1,Alabama,Remlap
453,1,Alabama,Repton
454,1,Alabama,River Falls
455,1,Alabama,Riverside
456,1,Alabama,Roanoke
457,1,Alabama,Robertsdale
458,1,Alabama,Rockford
459,1,Alabama,Rogersville
460,1,Alabama,Russellville
461,1,Alabama,Rutledge
462,1,Alabama,Ryland
463,1,Alabama,Safford
464,1,Alabama,Saginaw
465,1,Alabama,Saint Elmo
466,1,Alabama,Saint Stephens
467,1,Alabama,Salem
468,1,Alabama,Samantha
469,1,Alabama,Samson
470,1,Alabama,Saraland
471,1,Alabama,Sardis
472,1,Alabama,Satsuma
473,1,Alabama,Sawyerville
474,1,Alabama,Sayre
475,1,Alabama,Scottsboro
476,1,Alabama,Seale
477,1,Alabama,Section
478,1,Alabama,Selma
479,1,Alabama,Seminole
480,1,Alabama,Semmes
481,1,Alabama,Shannon
482,1,Alabama,Sheffield
483,1,Alabama,Shelby
484,1,Alabama,Shorter
485,1,Alabama,Shorterville
486,1,Alabama,Silas
487,1,Alabama,Siluria
488,1,Alabama,Silverhill
489,1,Alabama,Sipsey
490,1,Alabama,Skipperville
491,1,Alabama,Slocomb
492,1,Alabama,Smiths Station
493,1,Alabama,Somerville
494,1,Alabama,Spanish Fort
495,1,Alabama,Spring Garden
496,1,Alabama,Springville
497,1,Alabama,Spruce Pine
498,1,Alabama,Stanton
499,1,Alabama,Stapleton
500,1,Alabama,Steele
501,1,Alabama,Sterrett
502,1,Alabama,Stevenson
503,1,Alabama,Stockton
504,1,Alabama,Sulligent
505,1,Alabama,Sumiton
506,1,Alabama,Summerdale
507,1,Alabama,Sunflower
508,1,Alabama,Sweet Water
509,1,Alabama,Sycamore
510,1,Alabama,Sylacauga
511,1,Alabama,Sylvania
512,1,Alabama,Talladega
513,1,Alabama,Tallassee
514,1,Alabama,Tanner
515,1,Alabama,Theodore
516,1,Alabama,Thomaston
517,1,Alabama,Thomasville
518,1,Alabama,Thorsby
519,1,Alabama,Tibbie
520,1,Alabama,Titus
521,1,Alabama,Toney
522,1,Alabama,Town Creek
523,1,Alabama,Townley
524,1,Alabama,Toxey
525,1,Alabama,Trafford
526,1,Alabama,Trenton
527,1,Alabama,Trinity
528,1,Alabama,Troy
529,1,Alabama,Trussville
530,1,Alabama,Tuscaloosa
531,1,Alabama,Tuscumbia
532,1,Alabama,Tuskegee
533,1,Alabama,Tuskegee Institute
534,1,Alabama,Tyler
535,1,Alabama,Union Grove
